timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], temperature.gpu
03-11-2026 15:13:16, Orin, 99, 0, 26133, 36669, 45.218
03-11-2026 15:14:16, Orin, 99, 0, 26146, 36656, 46.156
03-11-2026 15:15:16, Orin, 99, 0, 26146, 36656, 46.437
03-11-2026 15:16:16, Orin, 99, 0, 26154, 36648, 47
03-11-2026 15:17:16, Orin, 99, 0, 26148, 36654, 47.375
03-11-2026 15:18:16, Orin, 99, 0, 26154, 36648, 47.5
03-11-2026 15:19:16, Orin, 99, 0, 26151, 36651, 47.562
03-11-2026 15:20:16, Orin, 99, 0, 26157, 36645, 48.062
03-11-2026 15:21:16, Orin, 99, 0, 26162, 36640, 48.156
03-11-2026 15:22:16, Orin, 99, 0, 26170, 36632, 47.906
03-11-2026 15:23:16, Orin, 99, 0, 26166, 36636, 48.218
03-11-2026 15:24:16, Orin, 99, 0, 26173, 36629, 48.156
03-11-2026 15:25:16, Orin, 99, 0, 26174, 36628, 48.281
03-11-2026 15:26:16, Orin, 99, 0, 26182, 36620, 48.593
03-11-2026 15:27:16, Orin, 99, 0, 26179, 36623, 48.343
03-11-2026 15:28:16, Orin, 99, 0, 26186, 36616, 49.093
03-11-2026 15:29:16, Orin, 99, 0, 26180, 36622, 48.781
03-11-2026 15:30:16, Orin, 99, 0, 26183, 36619, 48.968
03-11-2026 15:31:16, Orin, 99, 0, 26184, 36618, 48.843
03-11-2026 15:32:16, Orin, 99, 0, 26188, 36614, 48.562
03-11-2026 15:33:16, Orin, 99, 0, 26186, 36616, 48.75
03-11-2026 15:34:16, Orin, 99, 0, 26190, 36612, 48.437
03-11-2026 15:35:16, Orin, 99, 0, 26189, 36613, 48.5
03-11-2026 15:36:16, Orin, 99, 0, 26195, 36607, 48.562
03-11-2026 15:37:16, Orin, 99, 0, 26189, 36613, 49
03-11-2026 15:38:16, Orin, 99, 0, 26197, 36605, 48.906
03-11-2026 15:39:16, Orin, 99, 0, 26188, 36614, 48.562
03-11-2026 15:40:16, Orin, 99, 0, 26196, 36606, 48.906
03-11-2026 15:41:16, Orin, 99, 0, 26194, 36608, 48.562
03-11-2026 15:42:16, Orin, 99, 0, 26208, 36594, 49.031
03-11-2026 15:43:16, Orin, 99, 0, 26202, 36600, 48.781
03-11-2026 15:44:16, Orin, 99, 0, 26211, 36591, 48.812
03-11-2026 15:45:16, Orin, 99, 0, 26203, 36599, 48.875
03-11-2026 15:46:16, Orin, 99, 0, 26212, 36590, 48.656
03-11-2026 15:47:16, Orin, 99, 0, 26207, 36595, 48.812
03-11-2026 15:48:16, Orin, 99, 0, 26219, 36583, 48.937
03-11-2026 15:49:16, Orin, 99, 0, 26202, 36600, 49.031
03-11-2026 15:50:16, Orin, 99, 0, 26211, 36591, 48.718
03-11-2026 15:51:16, Orin, 99, 0, 26213, 36589, 48.781
03-11-2026 15:52:16, Orin, 99, 0, 26218, 36584, 48.531
03-11-2026 15:53:16, Orin, 99, 0, 26211, 36591, 48.593
03-11-2026 15:54:16, Orin, 99, 0, 26218, 36584, 48.843
03-11-2026 15:55:16, Orin, 99, 0, 26218, 36584, 48.593
03-11-2026 15:56:16, Orin, 99, 0, 26226, 36576, 48.656
03-11-2026 15:57:16, Orin, 99, 0, 26218, 36584, 49.093
03-11-2026 15:58:16, Orin, 99, 0, 26225, 36577, 49.031
03-11-2026 15:59:16, Orin, 99, 0, 26213, 36589, 48.718
03-11-2026 16:00:16, Orin, 99, 0, 26222, 36580, 49.062
